coarse number
89
number of 3 aggregates
35,27,27
vertex-1-
(    0.111738,    0.012984)
(    0.107947,    0.009791)
vertex-21-
(    0.109238,   -0.019240)
(    0.106779,   -0.014322)
(    0.107709,   -0.008836)
(    0.113147,   -0.004047)
(    0.112500,   -0.020500)
(    0.121478,   -0.007072)
(    0.116615,   -0.018420)
(    0.121015,   -0.014801)
vertex-22-
(    0.097078,   -0.015585)
(    0.107709,   -0.008836)
(    0.106121,   -0.001339)
(    0.094180,   -0.011513)
(    0.095517,    0.000656)
(    0.090954,   -0.006413)
(    0.091996,   -0.000943)
(    0.104132,   -0.013542)
vertex-23-
(   -0.096444,   -0.018910)
(   -0.099067,   -0.023355)
(   -0.096519,   -0.013347)
(   -0.104811,   -0.008841)
(   -0.096974,   -0.010738)
(   -0.110500,   -0.021500)
(   -0.102500,   -0.024500)
(   -0.112169,   -0.018442)
(   -0.112388,   -0.015773)
(   -0.106437,   -0.022537)
vertex-24-
(    0.022462,   -0.001362)
(    0.018505,    0.001459)
(    0.013037,    0.000380)
(    0.021612,   -0.009266)
(    0.011064,   -0.010545)
(    0.009953,   -0.004452)
(    0.019430,   -0.012596)
